Season,G,Team,Name,Date,At,Opp,W/L,OPts,Location,DPts,Opp_Name,ORtg,DRtg,Pace,Win
2019,2,BOS,Boston Celtics,2018-10-19,@,TOR,L,101,Away,113,Toronto Raptors,101.7,113.8,99.3,0
2019,3,BOS,Boston Celtics,2018-10-20,@,NYK,W,103,Away,101,New York Knicks,103.7,101.7,99.3,1
2019,4,BOS,Boston Celtics,2018-10-22,,ORL,L,90,Home,93,Orlando Magic,93.4,96.5,96.4,0
2019,5,BOS,Boston Celtics,2018-10-25,@,OKC,W,101,Away,95,Oklahoma City Thunder,100.5,94.6,100.5,1
2019,6,BOS,Boston Celtics,2018-10-27,@,DET,W,109,Away,89,Detroit Pistons,108.0,88.2,100.9,1
2019,7,BOS,Boston Celtics,2018-10-30,,DET,W,108,Home,105,Detroit Pistons,105.0,102.0,102.9,1
2019,8,BOS,Boston Celtics,2018-11-01,,MIL,W,117,Home,113,Milwaukee Bucks,115.5,111.6,101.3,1
2019,9,BOS,Boston Celtics,2018-11-03,@,IND,L,101,Away,102,Indiana Pacers,104.5,105.6,96.6,0
2019,10,BOS,Boston Celtics,2018-11-05,@,DEN,L,107,Away,115,Denver Nuggets,110.7,119.0,96.7,0
2019,11,BOS,Boston Celtics,2018-11-08,@,PHO,W,116,Away,109,Phoenix Suns,107.1,100.6,98.1,1
2019,12,BOS,Boston Celtics,2018-11-09,@,UTA,L,115,Away,123,Utah Jazz,117.8,126.0,97.6,0
2019,13,BOS,Boston Celtics,2018-11-11,@,POR,L,94,Away,100,Portland Trail Blazers,98.2,104.5,95.7,0
2019,14,BOS,Boston Celtics,2018-11-14,,CHI,W,111,Home,82,Chicago Bulls,109.4,80.8,101.5,1
2019,15,BOS,Boston Celtics,2018-11-16,,TOR,W,123,Home,116,Toronto Raptors,114.0,107.5,97.7,1
2019,16,BOS,Boston Celtics,2018-11-17,,UTA,L,86,Home,98,Utah Jazz,90.2,102.7,95.4,0
2019,17,BOS,Boston Celtics,2018-11-19,@,CHO,L,112,Away,117,Charlotte Hornets,111.0,115.9,100.9,0
2019,18,BOS,Boston Celtics,2018-11-21,,NYK,L,109,Home,117,New York Knicks,107.1,115.0,101.8,0
2019,19,BOS,Boston Celtics,2018-11-23,@,ATL,W,114,Away,96,Atlanta Hawks,106.4,89.6,107.1,1
2019,20,BOS,Boston Celtics,2018-11-24,@,DAL,L,104,Away,113,Dallas Mavericks,106.2,115.4,97.9,0
2019,21,BOS,Boston Celtics,2018-11-26,@,NOP,W,124,Away,107,New Orleans Pelicans,124.6,107.5,99.5,1
2019,22,BOS,Boston Celtics,2018-11-30,,CLE,W,128,Home,95,Cleveland Cavaliers,136.2,101.1,94.0,1
2019,23,BOS,Boston Celtics,2018-12-01,@,MIN,W,118,Away,109,Minnesota Timberwolves,118.7,109.7,99.4,1
2019,24,BOS,Boston Celtics,2018-12-06,,NYK,W,128,Home,100,New York Knicks,127.1,99.3,100.7,1
2019,25,BOS,Boston Celtics,2018-12-08,@,CHI,W,133,Away,77,Chicago Bulls,142.5,82.5,93.3,1
2019,26,BOS,Boston Celtics,2018-12-10,,NOP,W,113,Home,100,New Orleans Pelicans,113.9,100.8,99.2,1
2019,27,BOS,Boston Celtics,2018-12-12,@,WAS,W,130,Away,125,Washington Wizards,118.9,114.3,99.0,1
2019,28,BOS,Boston Celtics,2018-12-14,,ATL,W,129,Home,108,Atlanta Hawks,120.5,100.9,107.0,1
2019,29,BOS,Boston Celtics,2018-12-15,@,DET,L,104,Away,113,Detroit Pistons,100.7,109.4,103.3,0
2019,30,BOS,Boston Celtics,2018-12-19,,PHO,L,103,Home,111,Phoenix Suns,106.8,115.1,96.4,0
2019,31,BOS,Boston Celtics,2018-12-21,,MIL,L,107,Home,120,Milwaukee Bucks,106.8,119.8,100.2,0
2019,32,BOS,Boston Celtics,2018-12-23,,CHO,W,119,Home,103,Charlotte Hornets,121.6,105.3,97.9,1
2019,33,BOS,Boston Celtics,2018-12-25,,PHI,W,121,Home,114,Philadelphia 76ers,108.6,102.3,100.9,1
2019,34,BOS,Boston Celtics,2018-12-27,@,HOU,L,113,Away,127,Houston Rockets,116.0,130.3,97.4,0
